Player,Pos,Bye,Team,Projected $,Skew,Paid,Inflated $ Value,,,,,,,,,,,,,
Brock Osweiler,QB,9,DEN,$0,$0,,$0,,,,,,,,,,,,,
Tyler Wilson,QB,7,OAK,$0,$0,,$0,,,,,,,,,,,,,
Josh Johnson,QB,12,CIN,$0,$0,,$0,,,,,,,,,,,,,
Ryan Mallett,QB,10,NE,$0,$0,,$0,,,,,,,,,,,,,
Curtis Painter,QB,9,NYG,$0,$0,,$0,,,,,,,,,,,,,
Taylor Yates,QB,8,HOU,$0,$0,,$0,,,,,,,,,,,,,
Luke McCown,QB,7,NO,$0,$0,,$0,,,,,,,,,,,,,
Matt Hasselbeck,QB,8,IND,$0,$0,,$0,,,,,,,,,,,,,
Brady Quinn,QB,12,SEA,$0,$0,,$0,,,,,,,,,,,,,
Austin Davis,QB,11,STL,$0,$0,,$0,,,,,,,,,,,,,
Vince Young,QB,4,GB,$0,$0,,$0,,,,,,,,,,,,,
Ryan Nassib,QB,9,NYG,$0,$0,,$0,,,,,,,,,,,,,
Tarvaris Jackson,QB,12,SEA,$0,$0,,$0,,,,,,,,,,,,,
Dan Orlovsky,QB,5,TB,$0,$0,,$0,,,,,,,,,,,,,
Mike Glennon,QB,5,TB,$0,$0,,$0,,,,,,,,,,,,,
Derek Anderson,QB,4,CAR,$0,$0,,$0,,,,,,,,,,,,,
David Carr,QB,9,NYG,$0,$0,,$0,,,,,,,,,,,,,
B.J. Coleman,QB,4,GB,$0,$0,,$0,,,,,,,,,,,,,
Ryan Lindley,QB,9,ARI,$0,$0,,$0,,,,,,,,,,,,,
Matt Simms,QB,10,NYJ,$0,$0,,$0,,,,,,,,,,,,,
Mike Kafka,QB,9,JAC,$0,$0,,$0,,,,,,,,,,,,,
Kellen Moore,QB,9,DET,$0,$0,,$0,,,,,,,,,,,,,
Trent Edwards,QB,8,CHI,$0,$0,,$0,,,,,,,,,,,,,
Case Keenum,QB,8,HOU,$0,$0,,$0,,,,,,,,,,,,,
Zac Dysert,QB,9,DEN,$0,$0,,$0,,,,,,,,,,,,,
Caleb Hanie,QB,8,BAL,$0,$0,,$0,,,,,,,,,,,,,
Matt Leinart,QB,12,BUF,$0,$0,,$0,,,,,,,,,,,,,
Landry Jones,QB,5,PIT,$0,$0,,$0,,,,,,,,,,,,,
Brad Sorensen,QB,8,SD,$0,$0,,$0,,,,,,,,,,,,,
Rex Grossman,QB,5,WAS,$0,$0,,$0,,,,,,,,,,,,,
Greg McElroy,QB,10,NYJ,$0,$0,,$0,,,,,,,,,,,,,
Chandler Harnish,QB,8,IND,$0,$0,,$0,,,,,,,,,,,,,
John Skelton,QB,12,CIN,$0,$0,,$0,,,,,,,,,,,,,
Kellen Clemens,QB,11,STL,$0,$0,,$0,,,,,,,,,,,,,
Ricky Stanzi,QB,9,JAC,$0,$0,,$0,,,,,,,,,,,,,
Seneca Wallace,QB,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Thaddeus Lewis,QB,12,BUF,$0,$0,,$0,,,,,,,,,,,,,
Matt McGloin,QB,7,OAK,$0,$0,,$0,,,,,,,,,,,,,
